id,name,link,osm_url,lat,lon,categories,bookable,link_ok,open_now,street,housenumber,postcode,city,address
node/5213065322,Clas Ohlson,https://www.clasohlson.com/,https://www.openstreetmap.org/node/5213065322,59.3315448,18.0671286,robot_mower_seller,,,,,,,,
node/5227169554,Plantmarknaden,https://plantmarknaden.com/,https://www.openstreetmap.org/node/5227169554,59.5868377,15.2439457,robot_mower_seller,,,,Svarttjärnsvägen,3,71131,Lindesberg,"Svarttjärnsvägen 3, 71131 Lindesberg"
node/5258544952,Bolist Jensens Byggland,https://bolist.se/butiker/jensensbyggland/,https://www.openstreetmap.org/node/5258544952,55.7751712,13.5035685,robot_mower_seller,,,,Löparegatan,3,241 61,Löberöd,"Löparegatan 3, 241 61 Löberöd"
node/5281664576,Byggmax,https://www.byggmax.se/,https://www.openstreetmap.org/node/5281664576,56.6951157,16.3276586,robot_mower_seller,,,,,,,,
node/5306970764,Rusta,https://www.rusta.com/se/,https://www.openstreetmap.org/node/5306970764,59.2109971,15.1398189,robot_mower_seller,,,,,,,,
node/5316511196,areco,https://www.arecodirect.se/sv/,https://www.openstreetmap.org/node/5316511196,59.6076137,16.6151959,robot_mower_seller,,,,Hällagatan,4,72134,Västerås,"Hällagatan 4, 72134 Västerås"
node/5341437536,Blomsterlandet,https://www.blomsterlandet.se,https://www.openstreetmap.org/node/5341437536,63.798648,20.3032588,robot_mower_seller,,,,Strömpilsplatsen,17,90743,Umeå,"Strömpilsplatsen 17, 90743 Umeå"
node/5354425627,HTH Köksforum,https://stores.hth.se/butiker/sweden/hth-kalmar/,https://www.openstreetmap.org/node/5354425627,56.6941177,16.3325232,robot_mower_seller,,,,Dagövägen,5,,,Dagövägen 5
node/5527696232,Bärebergs Järn & Maskin,http://www.bjm.se,https://www.openstreetmap.org/node/5527696232,58.2047151,12.679494,robot_mower_seller,,,,,,,,
node/5535921824,Byggnadsvårdsbutiken,https://www.byggnadsvardsbutiken.se/,https://www.openstreetmap.org/node/5535921824,59.5679884,16.370888,robot_mower_seller,,,,Smedsbostigen,1,,,Smedsbostigen 1
node/5585711223,K-Bygg,https://k-bygg.se/varuhus/k-bygg-linkoping,https://www.openstreetmap.org/node/5585711223,58.4275991,15.6176673,robot_mower_seller,,,,Gillbergagatan,17,582 73,Linköping,"Gillbergagatan 17, 582 73 Linköping"
node/5618092637,Swedol Sätra,https://www.swedol.se/,https://www.openstreetmap.org/node/5618092637,59.2857422,17.9306302,robot_mower_seller,,,,Stensätravägen,4,127 39,Skärholmen,"Stensätravägen 4, 127 39 Skärholmen"
node/5618092638,Elproman,https://www.elproman.se/,https://www.openstreetmap.org/node/5618092638,59.2830065,17.9460021,robot_mower_seller,,,,Lövbacksvägen,3,14171,Segeltorp,"Lövbacksvägen 3, 14171 Segeltorp"
node/5705316308,XL-Bygg Bleket,https://www.xlbygg.se/butiker/xl-bygg-bleket/,https://www.openstreetmap.org/node/5705316308,57.9488667,11.5683907,robot_mower_seller,,,,Bleketvägen,35,47150,Bleket,"Bleketvägen 35, 47150 Bleket"
node/5725939821,Mekia AB,https://www.mekia.se/,https://www.openstreetmap.org/node/5725939821,57.6730846,11.663564,robot_mower_seller,,,,,,,,
node/5746075985,Lindar'n,https://www.lindarn.se/,https://www.openstreetmap.org/node/5746075985,57.3576905,12.1218628,robot_mower_seller,,,,,,,,
node/5752637654,Clas Ohlson,https://www.clasohlson.com,https://www.openstreetmap.org/node/5752637654,58.4936169,13.1843633,robot_mower_seller,,,,Rörstrandsgatan,5C,53140,Lidköping,"Rörstrandsgatan 5C, 53140 Lidköping"
node/5804098303,Byggmax,https://www.byggmax.se/,https://www.openstreetmap.org/node/5804098303,63.8522525,20.2130957,robot_mower_seller,,,,Mätarvägen,2B,90133,Umeå,"Mätarvägen 2B, 90133 Umeå"
node/5809273993,Elgiganten,https://www.elgiganten.se/store/elgiganten-varnamo,https://www.openstreetmap.org/node/5809273993,57.1618149,14.0744248,robot_mower_seller,,,,Bredastensvägen,2,33144,Värnamo,"Bredastensvägen 2, 33144 Värnamo"
node/5825406738,XL Bygg Östergyllen AB,https://www.xlbygg.se/motala,https://www.openstreetmap.org/node/5825406738,58.5536887,15.0122806,robot_mower_seller,,,,Björnvägen,1,,,Björnvägen 1
node/5868041285,Hannas Trădgård,http://hannas.se,https://www.openstreetmap.org/node/5868041285,55.465157,13.935314,robot_mower_seller,,,,Forsvăgen,20,27172,Köpingebro,"Forsvăgen 20, 27172 Köpingebro"
node/5979536389,QC trädgårdsexperten,https://www.qctradgard.se/vasby,https://www.openstreetmap.org/node/5979536389,59.516303,17.8985599,robot_mower_seller,,,,,,,,
node/6117309789,Elgiganten,https://www.elgiganten.se/stores/blekinge-lan/karlshamn/phone-house-karlshamn,https://www.openstreetmap.org/node/6117309789,56.1703189,14.8640694,robot_mower_seller,,,,,,,,
node/6188507634,Biltema,https://www.biltema.se/varuhus-och-oppettider/landskrona/,https://www.openstreetmap.org/node/6188507634,55.8736225,12.8603017,robot_mower_seller,,,,Österleden,185,261 51,Landskrona,"Österleden 185, 261 51 Landskrona"
node/6250017181,Backmarks,https://www.backmarks.com/,https://www.openstreetmap.org/node/6250017181,62.4145553,17.3473137,robot_mower_seller,,,,,,,,
node/6258328656,Bejier,https://www.beijerbygg.se/privat/sv/borgholm,https://www.openstreetmap.org/node/6258328656,56.8790346,16.6811236,robot_mower_seller,,,,,,,,
node/6279507591,Karlsborgs Bygghandel,https://www.kbgbygg.se/,https://www.openstreetmap.org/node/6279507591,58.526958,14.5114539,robot_mower_seller,,,,,,,,
node/6310529692,Selga,https://www.selga.se/sel/T%c3%a4by/store/124,https://www.openstreetmap.org/node/6310529692,59.4402808,18.0959933,robot_mower_seller,,,,Fogdevägen,1,183 64,Täby,"Fogdevägen 1, 183 64 Täby"
node/6331834004,Blomsterlandet,https://www.blomsterlandet.se/hitta-din-butik/norrkoping-ingelsta/,https://www.openstreetmap.org/node/6331834004,58.6234696,16.152901,robot_mower_seller,,,,Koppargatan,33,602 23,Norrköping,"Koppargatan 33, 602 23 Norrköping"
node/6387760108,Lundagrossisten,https://lundagrossisten.se/warehouses/solna/,https://www.openstreetmap.org/node/6387760108,59.3725787,18.009218,robot_mower_seller,,,,,,,,
node/6388868133,Rusta,https://www.rusta.se/,https://www.openstreetmap.org/node/6388868133,59.3590438,18.001582,robot_mower_seller,,,,,,,,
node/6388868134,Clas Ohlson,https://www.clasohlson.com,https://www.openstreetmap.org/node/6388868134,59.358937,18.0013758,robot_mower_seller,,,,,,,,
node/6443950676,Jula,https://www.jula.se/vara-varuhus/uppsala-granbystaden/,https://www.openstreetmap.org/node/6443950676,59.8848003,17.6745558,robot_mower_seller,,,,Takpannegatan,19,754 60,Uppsala,"Takpannegatan 19, 754 60 Uppsala"
node/6485716785,Flarkens Järn & Färg,https://www.facebook.com/Flarkens-J%C3%A4rn-1034115656652817/,https://www.openstreetmap.org/node/6485716785,64.302551,20.8676936,robot_mower_seller,,,,Flarkvägen,133,91596,Flarken,"Flarkvägen 133, 91596 Flarken"
node/6584042638,Cesars Trädgård,http://cesarsvisningstradgard.blogspot.com/,https://www.openstreetmap.org/node/6584042638,56.5298116,15.2470815,robot_mower_seller,,,,,,,,
node/6586413720,Malmbergs,https://www.malmbergs.com/,https://www.openstreetmap.org/node/6586413720,59.3677904,18.0058026,robot_mower_seller,,,,,,,,
node/6609950060,Clas Ohlson,https://clasohlson.com,https://www.openstreetmap.org/node/6609950060,57.7335016,12.9387444,robot_mower_seller,,,,Lundbygatan,1,506 30,Borås,"Lundbygatan 1, 506 30 Borås"
node/6680470216,Agne Olssons Maskinuthyrning,http://www.uthyrningar.se,https://www.openstreetmap.org/node/6680470216,56.2103558,14.772293,robot_mower_seller,,,,,,,,
node/6758703310,Clas Ohlson,https://www.clasohlson.com/se/,https://www.openstreetmap.org/node/6758703310,59.8596302,17.6377317,robot_mower_seller,,,,Sankt Persgatan,7-11,75320,Uppsala,"Sankt Persgatan 7-11, 75320 Uppsala"
node/6779649210,Kakelbutiken,http://kakelbutiken.com,https://www.openstreetmap.org/node/6779649210,55.9254199,12.9563811,robot_mower_seller,,,,,,,,
node/6780381542,Ekbacken 939,https://ekbacken939.se/,https://www.openstreetmap.org/node/6780381542,55.7013874,13.1405292,robot_mower_seller,,,,Trollebergsvägen,102,245 61,Staffanstorp,"Trollebergsvägen 102, 245 61 Staffanstorp"
node/6835736830,XL-BYGG Alingsås,https://www.xlbygg.se/alingsas/omoss/om-xl-bygg-alingsas,https://www.openstreetmap.org/node/6835736830,57.9383709,12.569533,robot_mower_seller,,,,Krangatan,12,441 38,Alingsås,"Krangatan 12, 441 38 Alingsås"
node/6835762899,Jordnära,https://jordnara.se/,https://www.openstreetmap.org/node/6835762899,57.9376451,12.5683429,robot_mower_seller,,,,Krangatan,12,441 38,Alingsås,"Krangatan 12, 441 38 Alingsås"
node/6916893465,Nordemans Jernhandel,https://bolist.se/butiker/nordemans-jernhandel-i-bredbyn/,https://www.openstreetmap.org/node/6916893465,63.4392808,18.1380254,robot_mower_seller,,,,Prästbordet,203,,,Prästbordet 203
node/6916893466,Sjödins Sport Radio-TV,http://www.sjodinssport.se/,https://www.openstreetmap.org/node/6916893466,63.428282,18.3128357,robot_mower_seller,,,,Järnvägsgatan,46,,,Järnvägsgatan 46
node/6916902513,Lantboa,https://www.facebook.com/lantboa/,https://www.openstreetmap.org/node/6916902513,63.4540265,18.1036985,robot_mower_seller,,,,Köpmangatan,3,,,Köpmangatan 3
